"day","rider","rank","time","bonus","penalty","start_location","start_country_code","start_country_name","finish_location","finish_country_code","finish_country_name","length","type","name","team"
"2023-07-05",101,1,13991,10,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jasper Philipsen","ALPECIN-DECEUNINCK"
"2023-07-05",41,2,13991,6,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Biniam Girmay","INTERMARCHÉ - WANTY"
"2023-07-05",228,3,13991,4,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Soren Waerenskjold","UNO-X MOBILITY"
"2023-07-05",187,4,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Anthony Turgis","TOTALENERGIES"
"2023-07-05",118,5,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Matteo Trentin","TUDOR PRO CYCLING TEAM"
"2023-07-05",98,6,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Clément Russo","GROUPAMA-FDJ"
"2023-07-05",97,7,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Paul Penhoet","GROUPAMA-FDJ"
"2023-07-05",15,8,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Matteo Jorgenson","TEAM VISMA | LEASE A BIKE"
"2023-07-05",116,9,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Marius Mayrhofer","TUDOR PRO CYCLING TEAM"
"2023-07-05",68,10,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Samuel Watson","INEOS GRENADIERS"
"2023-07-05",177,11,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Mike Teunissen","XDS ASTANA TEAM"
"2023-07-05",145,12,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Ivan Garcia Cortina","MOVISTAR TEAM"
"2023-07-05",196,13,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Niklas Märkl","TEAM PICNIC POSTNL"
"2023-07-05",36,14,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Harrison Sweeny","EF EDUCATION - EASYPOST"
"2023-07-05",207,15,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Krists Neilands","ISRAEL - PREMIER TECH"
"2023-07-05",131,16,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Kévin Vauquelin","ARKEA-B&B HOTELS"
"2023-07-05",168,17,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Damien Touze","COFIDIS"
"2023-07-05",1,18,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Tadej Pogacar","UAE TEAM EMIRATES XRG"
"2023-07-05",202,19,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Pascal Ackermann","ISRAEL - PREMIER TECH"
"2023-07-05",11,20,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jonas Vingegaard","TEAM VISMA | LEASE A BIKE"
"2023-07-05",87,21,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jasper Stuyven","LIDL-TREK"
"2023-07-05",113,22,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Marco Haller","TUDOR PRO CYCLING TEAM"
"2023-07-05",103,23,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Kaden Groves","ALPECIN-DECEUNINCK"
"2023-07-05",33,24,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Kasper Asgreen","EF EDUCATION - EASYPOST"
"2023-07-05",203,25,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Joseph Blackmore","ISRAEL - PREMIER TECH"
"2023-07-05",125,26,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Luka Mezgec","TEAM JAYCO ALULA"
"2023-07-05",13,27,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Tiesj Benoot","TEAM VISMA | LEASE A BIKE"
"2023-07-05",106,28,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Mathieu Van Der Poel","ALPECIN-DECEUNINCK"
"2023-07-05",224,29,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Stian Edvardsen-Fredheim","UNO-X MOBILITY"
"2023-07-05",221,30,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Tobias Johannessen","UNO-X MOBILITY"
"2023-07-05",141,31,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Enric Mas","MOVISTAR TEAM"
"2023-07-05",7,32,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Tim Wellens","UAE TEAM EMIRATES XRG"
"2023-07-05",93,33,13991,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Cyril Barthe","GROUPAMA-FDJ"
"2023-07-05",222,34,14004,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jonas Abrahamsen","UNO-X MOBILITY"
"2023-07-05",105,35,14004,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jonas Rickaert","ALPECIN-DECEUNINCK"
"2023-07-05",104,36,14004,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Xandro Meurisse","ALPECIN-DECEUNINCK"
"2023-07-05",172,37,14011,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Davide Ballerini","XDS ASTANA TEAM"
"2023-07-05",12,38,14016,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Edoardo Affini","TEAM VISMA | LEASE A BIKE"
"2023-07-05",81,39,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jonathan Milan","LIDL-TREK"
"2023-07-05",211,40,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Arnaud De Lie","LOTTO"
"2023-07-05",163,41,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Bryan Coquard","COFIDIS"
"2023-07-05",73,42,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jordi Meeus","RED BULL - BORA - HANSGROHE"
"2023-07-05",193,43,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Pavel Bittner","TEAM PICNIC POSTNL"
"2023-07-05",112,44,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Alberto Dainese","TUDOR PRO CYCLING TEAM"
"2023-07-05",57,45,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Robert Stannard","BAHRAIN VICTORIOUS"
"2023-07-05",52,46,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Phil Bauhaus","BAHRAIN VICTORIOUS"
"2023-07-05",24,47,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Tim Merlier","SOUDAL QUICK-STEP"
"2023-07-05",17,48,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Wout Van Aert","TEAM VISMA | LEASE A BIKE"
"2023-07-05",77,49,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Danny Van Poppel","RED BULL - BORA - HANSGROHE"
"2023-07-05",35,50,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Neilson Powless","EF EDUCATION - EASYPOST"
"2023-07-05",225,51,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Markus Hoelgaard","UNO-X MOBILITY"
"2023-07-05",153,52,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Clément Berthet","DECATHLON AG2R LA MONDIALE TEAM"
"2023-07-05",195,53,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Tobias Lund Andresen","TEAM PICNIC POSTNL"
"2023-07-05",85,54,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Mattias Skjelmose","LIDL-TREK"
"2023-07-05",213,55,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Jasper De Buyst","LOTTO"
"2023-07-05",161,56,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Emanuel Buchmann","COFIDIS"
"2023-07-05",204,57,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Guillaume Boivin","ISRAEL - PREMIER TECH"
"2023-07-05",2,58,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Joao Almeida","UAE TEAM EMIRATES XRG"
"2023-07-05",132,59,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Amaury Capiot","ARKEA-B&B HOTELS"
"2023-07-05",124,60,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Dylan Groenewegen","TEAM JAYCO ALULA"
"2023-07-05",223,61,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Magnus Cort Nielsen","UNO-X MOBILITY"
"2023-07-05",134,62,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Arnaud Demare","ARKEA-B&B HOTELS"
"2023-07-05",165,63,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Alexis Renard","COFIDIS"
"2023-07-05",31,64,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Ben Healy","EF EDUCATION - EASYPOST"
"2023-07-05",205,65,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Matis Louvel","ISRAEL - PREMIER TECH"
"2023-07-05",156,66,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Aurélien Paret Peintre","DECATHLON AG2R LA MONDIALE TEAM"
"2023-07-05",21,67,14030,0,0,"Lille Métropole","FRA","France","Lille Métropole","FRA","France","184.9","flat","Remco Evenepoel","SOUDAL QUICK-STEP"
