bib,rider_name,dob,team,rider_country_code,rider_country_name,team_country_code,team_country_name
1,Tadej Pogacar,1998-09-21,UAE TEAM EMIRATES XRG,SLO,Slovenia,UAE,United Arab Emirates
2,Joao Almeida,1998-08-05,UAE TEAM EMIRATES XRG,POR,Portugal,UAE,United Arab Emirates
3,Jhonatan Narvaez,1997-03-04,UAE TEAM EMIRATES XRG,ECU,Ecuador,UAE,United Arab Emirates
4,Nils Politt,1994-03-06,UAE TEAM EMIRATES XRG,GER,Germany,UAE,United Arab Emirates
5,Pavel Sivakov,1997-07-11,UAE TEAM EMIRATES XRG,FRA,France,UAE,United Arab Emirates
6,Marc Soler,1993-11-22,UAE TEAM EMIRATES XRG,ESP,Spain,UAE,United Arab Emirates
7,Tim Wellens,1991-05-10,UAE TEAM EMIRATES XRG,BEL,Belgium,UAE,United Arab Emirates
8,Adam Yates,1992-08-07,UAE TEAM EMIRATES XRG,GBR,United Kingdom of Great Britain and Northern Ireland,UAE,United Arab Emirates
11,Jonas Vingegaard,1996-12-10,TEAM VISMA | LEASE A BIKE,DEN,Denmark,NED,"Netherlands, Kingdom of the"
12,Edoardo Affini,1996-06-24,TEAM VISMA | LEASE A BIKE,ITA,Italy,NED,"Netherlands, Kingdom of the"
13,Tiesj Benoot,1994-03-11,TEAM VISMA | LEASE A BIKE,BEL,Belgium,NED,"Netherlands, Kingdom of the"
14,Victor Campenaerts,1991-10-28,TEAM VISMA | LEASE A BIKE,BEL,Belgium,NED,"Netherlands, Kingdom of the"
15,Matteo Jorgenson,1999-07-01,TEAM VISMA | LEASE A BIKE,USA,United States of America,NED,"Netherlands, Kingdom of the"
16,Sepp Kuss,1994-09-13,TEAM VISMA | LEASE A BIKE,USA,United States of America,NED,"Netherlands, Kingdom of the"
17,Wout Van Aert,1994-09-15,TEAM VISMA | LEASE A BIKE,BEL,Belgium,NED,"Netherlands, Kingdom of the"
18,Simon Yates,1992-08-07,TEAM VISMA | LEASE A BIKE,GBR,United Kingdom of Great Britain and Northern Ireland,NED,"Netherlands, Kingdom of the"
21,Remco Evenepoel,2000-01-25,SOUDAL QUICK-STEP,BEL,Belgium,BEL,Belgium
